nationalities,sort_name,count_names
United States,"Allen Tate, Archibald MacLeish, Djuna Barnes, Edwin Mims, Elliot Paul, Ernest Hemingway, Eugene Jolas, Ezra Pound, F. Scott Fitzgerald, George Antheil, Gertrude Stein, Glenway Wescott, Grace Flandrau, Herbert Sherman Gorman, James Boyd, John Peale Bishop, Joseph Beach, Katherine Anne Porter, Konrad Bercovici, Leon Edel, Lincoln Steffens, Ludwig Lewisohn, Malcolm Cowley, Margaret Wilson, Margaret C. Anderson, Mary Cable Dennis, Matthew Josephson, Max Eastman, Myron Brinig, Natalie Clifford Barney, Nathan Asch, Padraic Colum, Richard Wright, Robert McAlmon, Samuel Rogers, Solita Solano, Stephen Vincent Benét, Sylvia Beach, Thornton Wilder, William Bird",40
United Kingdom," Bryher, Anna Wickham, C. K. Ogden, Cyril Connolly, David Gascoyne, Douglas Goldring, Ford Madox Ford, Iris Tree, James Stern, Jan Gordon, John Rodker, Katherine Mansfield, Leonard Merrick, Richard Aldington, Richard Le Gallienne, Robert Briffault, Rollo Myers, Romer Wilson, Ronald Firbank, Sisley Huddleston, Stephen Spender, Stuart Gilbert",22
France,"André Gide, Eugene Jolas, Henri Michaux, Jean Schlumberger, Jules Romains, Louis Aragon, Louis Guilloux, Natalie Clifford Barney, Pierre de Lanux, Robert Briffault, Régis Michaud, Samuel Beckett, Sylvia Beach, Valery Larbaud",14
Ireland,"Austin Clarke, James Joyce, Kathleen Coyle, Padraic Colum, Samuel Beckett, Stanislaus Joyce, Thomas MacGreevy",7
Unknown,"Elizabeth Clark, Frank Harris, Louis Bromfield, Ruth McKenney, Élisabeth de Gramont",5
Canada,"Leon Edel, Morley Callaghan",2
Belgium,Henri Michaux,1
Germany,Ludwig Lewisohn,1
Italy,Stanislaus Joyce,1
Netherlands,Odette Keun,1
New Zealand,Katherine Mansfield,1
Poland,Nathan Asch,1
Romania,Konrad Bercovici,1
